# CO2 4.3µm, p=1013hPa T=296K. nu  sigma_Voigt_noLM  sigma_lineMixing
2336.26  7.780990257790038e-19  7.929353979400839e-19
2336.28  7.15644370675361e-19  7.299210863041053e-19
2336.3  6.64112290244626e-19  6.778571192083236e-19
2336.32  6.214698236026089e-19  6.347196655665159e-19
2336.34  5.863873618128718e-19  5.992065939357318e-19
2336.36  5.578332353641162e-19  5.70312399876437e-19
2336.38  5.34524062573004e-19  5.4677609372967385e-19
2336.4  5.151902945124974e-19  5.273340400957634e-19
2336.42  4.991630155294313e-19  5.112753709889644e-19
2336.44  4.868350006165434e-19  4.989207963388508e-19
2336.46  4.789888408387883e-19  4.910121274113802e-19
2336.48  4.755147216301494e-19  4.874364788897898e-19
2336.5  4.75358215815147e-19  4.871408572157798e-19
2336.52  4.770382780975774e-19  4.886457571446192e-19
2336.54  4.788757663583696e-19  4.902838554062322e-19
2336.56  4.795092704842005e-19  4.907105393417846e-19
2336.58  4.775754281447499e-19  4.885734618394108e-19
2336.6  4.706596901287798e-19  4.814618929932739e-19
2336.62  4.559661271200081e-19  4.665803174378964e-19
2336.64  4.332109693385212e-19  4.4364439750888165e-19
2336.66  4.0581547420177125e-19  4.1607462938249905e-19
2336.68  3.7845162627340574e-19  3.885423549205991e-19
2336.7  3.54326827554807e-19  3.642545718981663e-19
2336.72  3.346347524162008e-19  3.444045272389079e-19
2336.74  3.19300490966691e-19  3.289166793889793e-19
2336.76  3.077576502977872e-19  3.1722393719312223e-19
2336.78  2.993801147806856e-19  3.08699516916161e-19
2336.8  2.93645900592097e-19  3.0282077487976374e-19
2336.82  2.90169490124337e-19  2.9920146974267294e-19
2336.84  2.886773972286632e-19  2.9756722211024174e-19
2336.86  2.8894671536724217e-19  2.976940339911634e-19
2336.88  2.907477617441115e-19  2.993513217650616e-19
2336.9  2.9391194116630244e-19  3.023703900140632e-19
2336.92  2.9848984455177864e-19  3.0680226385579116e-19
2336.94  3.047342783256016e-19  3.1290007389598623e-19
2336.96  3.1296009375020783e-19  3.2097927336562464e-19
2336.98  3.2345113739756415e-19  3.3132489430511877e-19
2337.0  3.361874585455793e-19  3.4391839285278307e-19
2337.02  3.5033101243153667e-19  3.579232815945213e-19
2337.04  3.6424414983390895e-19  3.7170302391894124e-19
2337.06  3.7694998132449864e-19  3.842807219317561e-19
2337.08  3.8920043788768213e-19  3.964080114414141e-19
2337.1  4.0219168761459204e-19  4.0927864108525784e-19
2337.12  4.1674520394406014e-19  4.2370564137568216e-19
2337.14  4.338954436492386e-19  4.407125565087686e-19
2337.16  4.546304424277911e-19  4.6128133506573335e-19
2337.18  4.788809769344182e-19  4.853421613127751e-19
2337.2  5.054613332378352e-19  5.11712838224144e-19
2337.22  5.339093311042434e-19  5.399382119187234e-19
