# H2O 3800-3825, p=1013hPa T=250K. nu  sigma_Voigt  sigma_HartmannTran
3800.512  2.965270006219413e-20  2.9592856478767913e-20
3800.516  2.915397971581259e-20  2.9083371034900113e-20
3800.52  2.867159740829747e-20  2.8592335003138936e-20
3800.524  2.8207416050400124e-20  2.8121392795948605e-20
3800.528  2.77628478995331e-20  2.767173393276988e-20
3800.532  2.73389106684233e-20  2.724415853117192e-20
3800.536  2.6936281962049917e-20  2.6839142240621352e-20
3800.54  2.655535057067357e-20  2.645687367415696e-20
3800.544  2.6196263686313676e-20  2.6097330019594163e-20
3800.548  2.5858969536020433e-20  2.5760303433926813e-20
3800.552  2.5543255251817754e-20  2.544544313412206e-20
3800.556  2.5248780033536627e-20  2.515228789729819e-20
3800.56  2.497510382239226e-20  2.4880293641843036e-20
3800.564  2.4721711807549022e-20  2.4628855865396687e-20
3800.568  2.448803514427053e-20  2.4397331750038848e-20
3800.572  2.4273468287165942e-20  2.4185051762093465e-20
3800.576  2.4077383341322082e-20  2.3991335338435053e-20
3800.58  2.3899141819063406e-20  2.3815500573556707e-20
3800.584  2.3738104163049432e-20  2.3656872469800543e-20
3800.588  2.3593637365268783e-20  2.3514786518407815e-20
3800.592  2.3465120977320784e-20  2.3388605076214204e-20
3800.596  2.335195177284032e-20  2.327770421773172e-20
3800.6  2.32535472905975e-20  2.3181487615602627e-20
3800.604  2.31693484555758e-20  2.3099385716504373e-20
3800.608  2.3098821447769872e-20  2.303085701255814e-20
3800.612  2.3041458963414954e-20  2.297538879061976e-20
3800.616  2.299678095985651e-20  2.2932497440686728e-20
3800.62  2.296433517587083e-20  2.290172860575544e-20
3800.624  2.2943697043956246e-20  2.28826567808195e-20
3800.628  2.2934469694699672e-20  2.2874885053150238e-20
3800.632  2.2936283643788085e-20  2.287804456721758e-20
3800.636  2.2948796400758253e-20  2.289179394699532e-20
3800.64  2.2971692010763507e-20  2.2915818681361605e-20
3800.644  2.3004680565101674e-20  2.294983050347148e-20
3800.648  2.3047497710697907e-20  2.2993566790125603e-20
3800.652  2.309990418420444e-20  2.3046790003238902e-20
3800.656  2.3161685392938572e-20  2.3109287192641733e-20
3800.66  2.323265106313574e-20  2.3180869578219152e-20
3800.664  2.331263496583273e-20  2.3261372219771125e-20
3800.668  2.3401494753731487e-20  2.3350653806513966e-20
3800.672  2.349911190023048e-20  2.3448596556484196e-20
3800.676  2.360539177185563e-20  2.35551062568407e-20
3800.68  2.3720263840107822e-20  2.367011245144079e-20
3800.684  2.3843682045918008e-20  2.3793568790222726e-20
3800.688  2.3975625327367845e-20  2.392545355343334e-20
3800.692  2.4116098319493047e-20  2.40657703634264e-20
3800.696  2.4265132230995168e-20  2.421454909466995e-20
3800.7  2.4422785897515437e-20  2.4371846990054442e-20
3800.704  2.4589147001935e-20  2.4537749985879606e-20
3800.708  2.4764333438408803e-20  2.4712374238780255e-20
3800.712  2.4948494776587463e-20  2.4895867833715427e-20
3800.716  2.5141813751331525e-20  2.50884126289568e-20
3800.72  2.5344507659632815e-20  2.5290226160634912e-20
3800.724  2.5556829482840562e-20  2.5501563478360495e-20
3800.728  2.577906846327525e-20  2.572271870941876e-20
3800.732  2.6011549741695157e-20  2.5954026042804987e-20
3800.736  2.6254632494141307e-20  2.6195898669913346e-20
3800.74  2.650870578604592e-20  2.644867029811312e-20
3800.744  2.6774181076480286e-20  2.6712826821883494e-20
3800.748  2.705147995558124e-20  2.698883978181422e-20
3800.752  2.7341015296855835e-20  2.727719168585698e-20
3800.756  2.764316359414683e-20  2.757835332835829e-20
3800.76  2.795822593076397e-20  2.7892749636791664e-20
3800.764  2.828637497232724e-20  2.8220710272797085e-20
3800.768  2.862758588855418e-20  2.8562400879785965e-20
3800.772  2.8981550627225013e-20  2.8917731305263583e-20
3800.776  2.934757803801353e-20  2.9286239114418596e-20
3800.78  2.9724487481419615e-20  2.966695134954897e-20
3800.784  3.011051090137376e-20  3.005823601205802e-20
3800.788  3.050322710037946e-20  3.045758665464722e-20
3800.792  3.089955975731434e-20  3.08618721001581e-20
3800.796  3.1295873300702906e-20  3.126687124909843e-20
3800.8  3.168819267724371e-20  3.1667813545962717e-20
3800.804  3.2072550307229106e-20  3.205970814889144e-20
3800.808  3.244542737259244e-20  3.24379503536791e-20
3800.812  3.280421674899255e-20  3.2799021707079113e-20
3800.816  3.3147608296122036e-20  3.314111236190118e-20
3800.82  3.347580043002954e-20  3.3464477494852534e-20
3800.824  3.3790480350778435e-20  3.3771406989909585e-20
3800.828  3.4094577000182836e-20  3.40658165478502e-20
3800.832  3.439185100151235e-20  3.435259311008719e-20
3800.836  3.468642060240893e-20  3.4636885351999514e-20
